,,Name,SKU,Category,Brand,Unit,Cost Price,Sale Price,Min Stock Level,Current Stock,Description
,,Pillar Cock,1007 D,Metal,Suzon,pcs,,0.0,5,0,
,,Sink Bib Cock,1006 D,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1009 D,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1010 D,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1010 D1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1039 D,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011 D,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011 D1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011 D2,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011 D3,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Basin Mixar,1002 D,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Basin Mixar,1002 D1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Basin Mixar,1038 D,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Basin Mixar,1003 D,Metal,Suzon,pcs,,0.0,5,0,
,,Fixed Basin Mixar,1037 D,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 D,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 D1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 D2,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1026 D,Metal,Suzon,pcs,,0.0,5,0,
,,Tow in One Bib Cock,1016 D,Metal,Suzon,pcs,2025,2699.9,5,12,
,,Bath Tub Mixar,1000 D,Metal,Suzon,pcs,,0.0,5,0,
,,Bath Tub Mixar,1001 D,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock 1/2'',1014 U,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock 3/4'',1013 U,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Stop Cock 1'',1040 U,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Bib Cock,1005 U,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Bib Cock,1005 U+,Metal,Suzon,pcs,,0.0,5,0,
,,Angle Stop Cock,1012 U,Metal,Suzon,pcs,,0.0,5,0,
,,Angle Stop Cock,1012 U+,Metal,Suzon,pcs,,0.0,5,0,
,,Pillar Cock,1008 U+,Metal,Suzon,pcs,,0.0,5,0,
,,Pillar Cock,1008 U,Metal,Suzon,pcs,,0.0,5,0,
,,Pillar Cock,1007 U,Metal,Suzon,pcs,,0.0,5,0,
,,Sink Bib Cock,1006 U,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1009 U,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1010 U1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1039 U,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011 U,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011 U1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011 U2,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011 U3,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Basin Mixar,1002 U,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Basin Mixar,1002 U1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Basin Mixar,1038 U,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Basin Mixar,1003 U,Metal,Suzon,pcs,,0.0,5,0,
,,Fixed Basin Mixar,1037 U,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 U,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 U1,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1004 U2,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Mixar,1026 U,Metal,Suzon,pcs,,0.0,5,0,
,,Tow in One Bib Cock,1016 U,Metal,Suzon,pcs,,0.0,5,0,
,,Bath Tub Mixar,1000 U,Metal,Suzon,pcs,,0.0,5,0,
,,Bath Tub Mixar,1001 U,Metal,Suzon,pcs,,0.0,5,0,
,,Conceal Bib Cock,1005 E,Metal,Suzon,pcs,1237.5,1650.0,5,38,
,,Moving Pillar Cock,1039 E,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1010 E,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Pillar Cock,1010 E+,Metal,Suzon,pcs,,0.0,5,0,
,,Tow in One Bib Cock,1016 E,Metal,Suzon,pcs,1987.5,2649.9,5,12,
,,Sink Bib Cock,1006 E,Metal,Suzon,pcs,1462.5,1950.0,5,34,
,,Pillar Cock,1008 E,Metal,Suzon,pcs,,0.0,5,0,
,,Pillar Cock,1007 E,Metal,Suzon,pcs,,0.0,5,0,
,,Moving Sink Cock,1011 E,Metal,Suzon,pcs,1912.5,2549.9,5,3,
